name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_convolution_cpu_par/20/300/7/iterations:3",3,1.51651e+10,1.4454e+10,ns,,,,,
"BM_convolution_cpu_par/20/300/8/iterations:3",3,1.93577e+10,1.84654e+10,ns,,,,,
"BM_convolution_cpu_par/20/300/9/iterations:3",3,2.40299e+10,2.30545e+10,ns,,,,,
"BM_convolution_cpu_par/20/300/10/iterations:3",3,2.92307e+10,2.81241e+10,ns,,,,,
"BM_convolution_cpu_par/20/300/11/iterations:3",3,3.49249e+10,3.36966e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/1/iterations:3",3,1.30377e+09,1.02493e+09,ns,,,,,
"BM_convolution_cpu_par/20/400/2/iterations:3",3,2.75057e+09,2.31515e+09,ns,,,,,
"BM_convolution_cpu_par/20/400/3/iterations:3",3,5.00584e+09,4.43338e+09,ns,,,,,
"BM_convolution_cpu_par/20/400/4/iterations:3",3,7.98053e+09,7.29743e+09,ns,,,,,
"BM_convolution_cpu_par/20/400/5/iterations:3",3,1.18711e+10,1.10775e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/6/iterations:3",3,1.57218e+10,1.48436e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/7/iterations:3",3,2.02389e+10,1.92454e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/8/iterations:3",3,2.57811e+10,2.46703e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/9/iterations:3",3,3.2046e+10,3.07463e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/10/iterations:3",3,3.8946e+10,3.74912e+10,ns,,,,,
"BM_convolution_cpu_par/20/400/11/iterations:3",3,4.65975e+10,4.49124e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/1/iterations:3",3,1.63184e+09,1.28203e+09,ns,,,,,
"BM_convolution_cpu_par/20/500/2/iterations:3",3,3.42307e+09,2.87769e+09,ns,,,,,
"BM_convolution_cpu_par/20/500/3/iterations:3",3,6.2044e+09,5.50587e+09,ns,,,,,
"BM_convolution_cpu_par/20/500/4/iterations:3",3,1.00138e+10,9.1511e+09,ns,,,,,
"BM_convolution_cpu_par/20/500/5/iterations:3",3,1.45402e+10,1.35668e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/6/iterations:3",3,1.95664e+10,1.84042e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/7/iterations:3",3,2.52786e+10,2.40283e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/8/iterations:3",3,3.22262e+10,3.07844e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/9/iterations:3",3,4.00213e+10,3.83875e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/10/iterations:3",3,4.86674e+10,4.68106e+10,ns,,,,,
"BM_convolution_cpu_par/20/500/11/iterations:3",3,5.81895e+10,5.60355e+10,ns,,,,,
"BM_convolution_cpu_par/30/100/1/iterations:3",3,6.50247e+08,5.16358e+08,ns,,,,,
"BM_convolution_cpu_par/30/100/2/iterations:3",3,1.46762e+09,1.27638e+09,ns,,,,,
"BM_convolution_cpu_par/30/100/3/iterations:3",3,2.72109e+09,2.48902e+09,ns,,,,,
"BM_convolution_cpu_par/30/100/4/iterations:3",3,4.26735e+09,3.97413e+09,ns,,,,,
"BM_convolution_cpu_par/30/100/5/iterations:3",3,6.21066e+09,5.89233e+09,ns,,,,,
"BM_convolution_cpu_par/30/100/6/iterations:3",3,8.54699e+09,8.2184e+09,ns,,,,,
"BM_convolution_cpu_par/30/100/7/iterations:3",3,1.12947e+10,1.09063e+10,ns,,,,,
"BM_convolution_cpu_par/30/100/8/iterations:3",3,1.4417e+10,1.3971e+10,ns,,,,,
"BM_convolution_cpu_par/30/100/9/iterations:3",3,1.79498e+10,1.74139e+10,ns,,,,,
"BM_convolution_cpu_par/30/100/10/iterations:3",3,2.1848e+10,2.12707e+10,ns,,,,,
"BM_convolution_cpu_par/30/100/11/iterations:3",3,2.60842e+10,2.55061e+10,ns,,,,,
"BM_convolution_cpu_par/30/200/1/iterations:3",3,1.30928e+09,1.04462e+09,ns,,,,,
"BM_convolution_cpu_par/30/200/2/iterations:3",3,2.97325e+09,2.58766e+09,ns,,,,,
"BM_convolution_cpu_par/30/200/3/iterations:3",3,5.70664e+09,5.24051e+09,ns,,,,,
